          Mkt-RF     SMB     HML      RF
20160216    1.78    0.55   -0.56   0.001
20160217    1.75   -0.06   -0.64   0.001
20160218   -0.51    0.00    0.21   0.001
20160219    0.06    0.43   -0.62   0.001
20160222    1.43   -0.27    0.24   0.001
20160223   -1.22    0.47   -0.52   0.001
20160224    0.53    0.68   -0.33   0.001
20160225    1.10   -0.43    0.22   0.001
20160226   -0.01    0.82    0.27   0.001
20160229   -0.69    0.66    0.26   0.001
20160301    2.34   -0.63    0.30   0.001
20160302    0.54    0.50    0.70   0.001
20160303    0.51    0.45    0.65   0.001
20160304    0.37    0.27    0.29   0.001
20160307    0.21    1.21    0.55   0.001
20160308   -1.27   -1.14   -0.49   0.001
20160309    0.50    0.04    0.39   0.001
20160310   -0.11   -0.81    0.63   0.001
20160311    1.69    0.26    0.19   0.001
20160314   -0.12   -0.07   -0.87   0.001
20160315   -0.36   -1.43    0.67   0.001
20160316    0.63    0.10   -0.04   0.001
20160317    0.72    0.84    0.59   0.001
20160318    0.54    0.34   -0.19   0.001
20160321    0.10   -0.20   -0.31   0.001
20160322   -0.05   -0.01   -0.44   0.001
20160323   -0.86   -1.17   -0.09   0.001
20160324    0.00    0.46   -0.05   0.001
20160328    0.04   -0.02    0.14   0.001
20160329    1.07    1.76   -1.18   0.001
20160330    0.41   -0.28    0.15   0.001
20160331   -0.11    0.44   -0.48   0.001
20160401    0.64   -0.25   -0.62   0.000
20160404   -0.41   -0.25   -0.74   0.000
20160405   -0.94   -0.08   -0.36   0.000
20160406    1.14    0.17   -0.82   0.000
20160407   -1.23   -0.05   -0.35   0.000
20160408    0.29    0.02    0.69   0.000
20160411   -0.28   -0.10    0.95   0.000
20160412    0.99   -0.06    0.85   0.000
20160413    1.23    0.84    0.35   0.000
20160414    0.03   -0.28    0.18   0.000
20160415   -0.04    0.33   -0.32   0.000
20160418    0.65    0.09   -0.19   0.000
20160419    0.29   -0.36    1.49   0.000
20160420    0.15   -0.10    0.53   0.000
20160421   -0.47    0.11   -0.59   0.000
20160422    0.12    0.82    0.49   0.000
