sep=;
Date;High price;Low price;Closing price;All trades average price;Total volume;Turnover;Duration;Yield;Yield calculation price;Nasdaq CPH Consolidated reference price;Nasdaq CPH consolidated volume;Nasdaq CPH consolidated turnover;
2019-04-15;108.860;108.860;108.860;;60000000;;4.443;-0.412;108.860;108.860;60000000.000;65316000.000;
2019-04-16;;;;;;;4.443;-0.412;108.860;;;;
2019-04-17;108.770;108.710;108.770;;33875000;;4.424;-0.401;108.769;108.769;33875000.000;36845382.500;
2019-04-23;;;;;;;4.424;-0.401;108.769;;;;
2019-04-24;108.990;108.990;108.990;;40000;;4.418;-0.448;108.990;108.990;40000.000;43596.000;
2019-04-25;;;;;;;4.418;-0.448;108.990;;;;
2019-04-26;;;;;;;4.418;-0.448;108.990;;;;
2019-04-29;;;;;;;4.418;-0.448;108.990;;;;
2019-04-30;;;;;;;4.418;-0.448;108.990;;;;
2019-05-01;109.000;108.910;108.910;;1821307.48;;4.399;-0.440;108.911;108.911;1821307.480;1983605.150;
2019-05-02;;;;;;;4.399;-0.440;108.911;;;;
2019-05-03;108.860;108.860;108.860;;25000;;4.388;-0.434;108.860;108.860;25000.000;27215.000;
2019-05-06;;;;;;;4.388;-0.434;108.860;;;;
2019-05-07;;;;;;;4.388;-0.434;108.860;;;;
2019-05-08;;;;;;;4.388;-0.434;108.860;;;;
2019-05-09;;;;;;;4.388;-0.434;108.860;;;;
2019-05-10;109.210;109.200;109.210;;20000;;4.369;-0.513;109.205;109.205;20000.000;21841.000;
2019-05-13;109.060;109.060;109.060;;7000000;;4.366;-0.485;109.060;109.060;7000000.000;7634200.000;
2019-05-14;;;;;;;4.366;-0.485;109.060;;;;
2019-05-15;;;;;;;4.366;-0.485;109.060;;;;
2019-05-16;;;;;;;4.366;-0.485;109.060;;;;
2019-05-20;;;;;;;4.366;-0.485;109.060;;;;
2019-05-21;;;;;;;4.366;-0.485;109.060;;;;
2019-05-22;109.118;109.118;109.118;;895000;;4.342;-0.507;109.118;109.118;895000.000;976606.100;
2019-05-23;109.170;109.126;109.170;;4050000;;4.334;-0.521;109.169;109.169;4050000.000;4421363.000;
2019-05-24;109.200;109.200;109.200;;100000;;4.331;-0.529;109.200;109.200;100000.000;109200.000;
2019-05-27;;;;;;;4.331;-0.529;109.200;;;;
2019-05-28;;;;;;;4.331;-0.529;109.200;;;;
2019-05-29;;;;;;;4.331;-0.529;109.200;;;;
2019-06-03;109.500;109.500;109.500;;1000000;;4.307;-0.603;109.500;109.500;1000000.000;1095000.000;
2019-06-04;109.470;109.450;109.450;;10030000;;4.304;-0.593;109.450;109.450;10030000.000;10977841.000;
2019-06-06;;;;;;;4.304;-0.593;109.450;;;;
2019-06-07;;;;;;;4.304;-0.593;109.450;;;;
2019-06-11;;;;;;;4.304;-0.593;109.450;;;;
2019-06-12;;;;;;;4.304;-0.593;109.450;;;;
2019-06-13;;;;;;;4.304;-0.593;109.450;;;;
2019-06-14;109.640;109.640;109.640;;1000000;;4.274;-0.647;109.640;109.640;1000000.000;1096400.000;
2019-06-17;;;;;;;4.274;-0.647;109.640;;;;
2019-06-18;;;;;;;4.274;-0.647;109.640;;;;
2019-06-19;109.840;109.840;109.840;;200000;;4.266;-0.693;109.840;109.840;200000.000;219680.000;
2019-06-20;109.820;109.820;109.820;;500000;;4.258;-0.693;109.820;109.820;500000.000;549100.000;
2019-06-21;;;;;;;4.258;-0.693;109.820;;;;
2019-06-24;109.680;109.680;109.680;;10000;;4.252;-0.666;109.680;109.680;10000.000;10968.000;
2019-06-25;;;;;;;4.252;-0.666;109.680;;;;
2019-06-26;;;;;;;4.252;-0.666;109.680;;;;
